id,State,source,Agricultural_2018,Non_Agricultural_2018,Agricultural_2017,Non_Agricultural_2017,Agricultural_2016,Non_Agricultural_2016,Agricultural_2015,Non_Agricultural_2015,Agricultural_2014,Non_Agricultural_2014,Agricultural_2013,Non_Agricultural_2013,Agricultural_2012,Non_Agricultural_2012,Agricultural_2011,Non_Agricultural_2011,Agricultural_2010,Non_Agricultural_2010,source_ab,target_ab
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,AN
2,Andhra Pradesh,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,AP
3,Arunachal Pradesh,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,AR
4,Assam,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,AS
5,Bihar,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,BR
6,Chandigarh,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,CN
7,Chattisgarh,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,CH
8,Dadra & Nagar Haveli,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,DN
9,Daman & Diu,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,DD
10,Delhi,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,DL
11,Goa,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,GA
12,Gujarat,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,GJ
13,Haryana,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,HR
14,Himachal Pradesh,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,HP
15,Jammu & Kashmir,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,JK
16,Jharkhand,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,JH
17,Karnataka,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,KA
18,Kerala,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,KL
19,Lakshadeep,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,LD
20,Madhya Pradesh,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,MP
21,Maharashtra,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,MH
22,Manipur,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,MN
23,Meghalaya,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,ML
24,Mizoram,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,MZ
25,Nagaland,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,NL
26,Odisha,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,OD
27,Puducherry,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,PD
28,Punjab,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,PN
29,Rajasthan,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,RJ
30,Sikkim,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,SK
31,Tamil Nadu,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,TN
32,Telangana,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,TE
33,Tripura,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,TR
34,Uttar Pradesh,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,UP
35,Uttarakhand,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,UR
36,West Bengal,Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AN,WB
37,Andaman & Nicobar Islands,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,AN
38,Andhra Pradesh,Andhra Pradesh,3607860000,1.21197E+11,1076594400,1.03433E+11,1402315200,1.30502E+11,4488379500,1.78544E+11,4484197900,1.20082E+11,6042360870,81857724151,5782854200,77127583166,1540783175,36092555839,2462395900,40691389909,AP,AP
39,Arunachal Pradesh,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,AR
40,Assam,Andhra Pradesh,549874700,1947094708,735359950,2012766044,37966500,2459782659,0,1988109926,71793825,1769073168,33737550,1233516339,0,1436376493,854853300,1612728269,1191249367,2393644477,AP,AS
41,Bihar,Andhra Pradesh,162743000,19104474180,335351250,13065850003,64950600,16333472662,67734000,12226169307,530482275,13881594132,553488100,15445693438,589548000,12163174323,765525500,13248063501,92332400,9110750403,AP,BR
42,Chandigarh,Andhra Pradesh,0,1271920215,0,491395097,0,755618773,0,698306963,0,817669304,0,792395897,0,921445529,0,611317097,0,1013962364,AP,CN
43,Chattisgarh,Andhra Pradesh,0,1.22353E+11,43192500,1.02577E+11,0,96941742379,107550300,96807112549,0,68667716709,0,43788320724,0,42116384966,0,38709315226,22472775,38892171519,AP,CH
44,Dadra & Nagar Haveli,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,DN
45,Daman & Diu,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,DD
46,Delhi,Andhra Pradesh,0,0,0,0,0,78125115,315280950,4238060,1252051707,221031341,9751074,255326480,91117663,48737031,129890164,116681339,1014786724,542025037,AP,DL
47,Goa,Andhra Pradesh,0,2539943980,0,1094016000,0,752106212,0,1105263720,0,1330086660,0,1210340040,0,1327479894,0,760826880,0,1213129656,AP,GA
48,Gujarat,Andhra Pradesh,0,3355316021,0,2362618299,0,3053229898,0,4074350799,0,4782368053,33433950,4408855416,355864050,5121051763,0,3116923065,0,4000811803,AP,GJ
49,Haryana,Andhra Pradesh,0,4871304029,0,4855492853,38838625,16782672717,108508400,8038749948,37724250,6103300528,0,5116231096,0,5675987538,71300025,3778325814,181818000,3764741167,AP,HR
50,Himachal Pradesh,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,HP
51,Jammu & Kashmir,Andhra Pradesh,0,0,0,248435880,0,0,0,492113392,0,520058764,0,1056737516,13818900,775962692,0,16565892,0,71323643,AP,JK
52,Jharkhand,Andhra Pradesh,0,7120382879,0,2638297537,0,8800069634,0,6446819403,486714600,4082480529,498321450,7629851287,174532050,4594831826,27009150,6446396558,0,5745223508,AP,JH
53,Karnataka,Andhra Pradesh,9403755400,3.53512E+11,6247286900,1.91732E+11,5015467800,1.96381E+11,1761148500,1.91537E+11,880066125,1.30701E+11,5604047200,86105598782,10112372300,79387490880,1001252700,52111828937,4390672800,56404540432,AP,KA
54,Kerala,Andhra Pradesh,23726311000,11658767931,15054200100,9542018225,16894833600,11731830634,15809359200,10871651555,11052792877,12394729892,15599511950,13548228244,15269411250,11186000202,10048976070,8252988362,11257497000,7070757088,AP,KL
55,Lakshadeep,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,LD
56,Madhya Pradesh,Andhra Pradesh,0,29548494140,0,22140066400,0,23216235769,0,18817451041,36811000,17756926592,0,14013592865,0,11462289352,24492375,8199008277,43753600,5011257720,AP,MP
57,Maharashtra,Andhra Pradesh,0,1.76679E+11,339392215,93428625856,39448500,86981093483,107921300,85827079502,0,66947322336,132837650,59192394146,372880350,60129653386,53987850,37103470329,210197688,47339268577,AP,MH
58,Manipur,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,MN
59,Meghalaya,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,ML
60,Mizoram,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,MZ
61,Nagaland,Andhra Pradesh,0,0,172428750,0,0,0,0,0,0,0,0,0,0,0,0,0,23244975,0,AP,NL
62,Odisha,Andhra Pradesh,790223100,1.25018E+11,1466513750,58711332349,0,65299455101,0,56852234725,0,47366585239,0,51580742822,0,52548066249,0,41474762834,23139675,30972277268,AP,OD
63,Puducherry,Andhra Pradesh,0,0,0,0,0,0,0,0,163229400,0,381473400,0,39376200,0,169505000,100502220,232082500,157901400,AP,PD
64,Punjab,Andhra Pradesh,34197991,3601269731,0,2579074339,73720500,2641501654,70413200,2817034443,0,2951882601,69774533,3412800364,59049398,3617535893,0,3645024579,328750599,4223138833,AP,PN
65,Rajasthan,Andhra Pradesh,0,4222449783,0,3149160098,0,2846995036,0,2696517879,0,2822077284,0,2399420759,0,2922142948,0,1529404646,112322088,1474833128,AP,RJ
66,Sikkim,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,SK
67,Tamil Nadu,Andhra Pradesh,62421227175,41736110407,16621476650,29447319567,32012598950,35697939511,33368963000,34753925818,23175697283,34506416425,30380731925,34356262938,29523941533,35485464209,16993321375,28901078751,20587694450,29909103882,AP,TN
68,Telangana,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AP,TE
69,Tripura,Andhra Pradesh,0,0,42997500,0,0,0,0,242296348,0,0,0,0,0,0,0,71610138,0,72155843,AP,TR
70,Uttar Pradesh,Andhra Pradesh,0,18218045712,212520000,13699848383,78004500,16716853249,28552200,12864973267,0,12381374319,0,18886622761,106813007,21685359233,103334625,15037467628,600907700,15979070304,AP,UP
71,Uttarakhand,Andhra Pradesh,0,503097392,0,378310746,0,564631227,0,618665302,0,470125250,0,678843284,0,831175757,0,461164628,0,919967249,AP,UR
72,West Bengal,Andhra Pradesh,77369600,49358690261,683092700,27249281215,392179500,32829934297,841290100,29834909126,71093000,25917165161,33547800,35433337175,1996772797,32784746688,2925733191,30046889304,1289650346,30390096583,AP,WB
73,Andaman & Nicobar Islands,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,AN
74,Andhra Pradesh,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,AP
75,Arunachal Pradesh,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,AR
76,Assam,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,AS
77,Bihar,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,BR
78,Chandigarh,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,CN
79,Chattisgarh,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,CH
80,Dadra & Nagar Haveli,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,DN
81,Daman & Diu,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,DD
82,Delhi,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,DL
83,Goa,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,GA
84,Gujarat,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,GJ
85,Haryana,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,HR
86,Himachal Pradesh,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,HP
87,Jammu & Kashmir,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,JK
88,Jharkhand,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,JH
89,Karnataka,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,KA
90,Kerala,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,KL
91,Lakshadeep,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,LD
92,Madhya Pradesh,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,MP
93,Maharashtra,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,MH
94,Manipur,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,MN
95,Meghalaya,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,ML
96,Mizoram,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,MZ
97,Nagaland,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,NL
98,Odisha,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,OD
99,Puducherry,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,PD
100,Punjab,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,PN
101,Rajasthan,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,RJ
102,Sikkim,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,SK
103,Tamil Nadu,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,TN
104,Telangana,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,TE
105,Tripura,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,TR
106,Uttar Pradesh,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,UP
107,Uttarakhand,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,UR
108,West Bengal,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,WB
109,Andaman & Nicobar Islands,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,AN
110,Andhra Pradesh,Assam,0,0,0,0,0,0,0,0,0,35308830,0,11425667,0,90568022,0,22630673,0,0,AS,AP
111,Arunachal Pradesh,Assam,0,56093700,0,23391060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,AR
112,Assam,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,AS
113,Bihar,Assam,0,1126340849,0,1869970239,0,1382729145,0,2462634516,0,2073951318,0,1977595993,0,1650659513,0,1930690773,10436250,1549872825,AS,BR
114,Chandigarh,Assam,0,0,0,0,0,0,0,0,0,0,0,22955678,0,0,0,0,0,0,AS,CN
115,Chattisgarh,Assam,0,0,0,0,0,0,0,0,0,117802564,0,16096344,0,0,0,0,0,0,AS,CH
116,Dadra & Nagar Haveli,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,DN
117,Daman & Diu,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,DD
118,Delhi,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11821908,0,11162970,AS,DL
119,Goa,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11315336,0,0,AS,GA
120,Gujarat,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5657668,AS,GJ
121,Haryana,Assam,0,0,0,0,0,0,0,429718120,0,571199367,0,143776617,0,521508723,0,517117722,0,692586690,AS,HR
122,Himachal Pradesh,Assam,0,0,0,0,0,0,0,0,0,0,0,857900935,0,4155875085,0,3684868856,0,4686442065,AS,HP
123,Jammu & Kashmir,Assam,0,165170113,0,0,0,0,0,180828408,0,944402258,0,556575148,0,951849018,0,563194149,0,679297371,AS,JK
124,Jharkhand,Assam,0,6772862,0,0,0,45118354,0,85120724,0,5152692,0,0,0,0,0,0,0,0,AS,JH
125,Karnataka,Assam,0,0,0,0,0,0,0,0,0,0,0,3624192,0,0,0,0,0,832837310,AS,KA
126,Kerala,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,KL
127,Lakshadeep,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,LD
128,Madhya Pradesh,Assam,0,310208945,0,410893494,0,337158776,0,298946664,0,203293063,0,85810595,0,645096032,0,609114135,0,609271405,AS,MP
129,Maharashtra,Assam,0,0,0,0,0,40365009,0,65814797,0,0,0,0,0,10988620,0,0,0,0,AS,MH
130,Manipur,Assam,0,269620826,0,64356600,18918900,0,614371400,45107092,1125188350,0,991452085,0,1171358275,3241432,320857775,1677960,0,0,AS,MN
131,Meghalaya,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,ML
132,Mizoram,Assam,0,163902422,0,251105045,0,0,410546200,0,0,0,0,0,0,0,0,0,0,0,AS,MZ
133,Nagaland,Assam,41887600,467616754,0,392424496,18089500,385953980,114213400,402022220,60202125,175973521,301500100,178207836,63166200,359623720,220288138,205046518,121652650,254707505,AS,NL
134,Odisha,Assam,0,459710409,0,414922118,0,417301812,0,450031833,0,216367667,0,191128356,0,577664609,0,546517926,0,643378651,AS,OD
135,Puducherry,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AS,PD
136,Punjab,Assam,0,128858220,0,35994420,0,62631073,0,2198637379,0,5969914944,0,2968956150,0,5320294205,0,3987623814,0,5346356205,AS,PN
